Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
提交试卷,3301,2061,74,84558,6150.46,52.742%,7.96498,5.56,10.13,714.6
login,1930,2938,83,90855,4926.16,4.663%,4.53227,5.09,1.65,1149.7
查询直播课列表（默认查询条件）,2266,2389,74,81600,4709.58,41.880%,5.86412,28.51,2.20,4978.2
获取直播班级,6327,1988,73,126376,5205.12,58.163%,15.32147,65.87,4.61,4402.7
强制升级接口,1901,1978,23,48720,2990.63,4.103%,5.30373,4.45,2.01,859.7
获取直播章节数据,6271,2853,22,87718,3518.68,7.941%,17.42714,40.49,8.34,2379.1
练一练年级筛选,1659,2105,74,81557,4885.76,44.665%,4.52314,5.60,1.19,1268.9
练一练列表——全部,1639,2537,23,81336,3541.64,5.369%,4.57755,15.69,1.95,3510.0
提交试卷—主观题,3272,3614,78,85592,6296.19,2.567%,8.19048,4.48,7.33,560.0
HomePage,1896,2939,23,81510,4043.25,4.167%,5.28165,17.22,2.04,3338.3
练一练列表——已做,1626,2714,23,86879,4612.25,4.982%,4.53540,6.17,1.99,1392.3
获取icon图标,1880,2259,22,76648,3718.78,4.734%,5.24704,22.98,1.95,4484.0
查看练一练结果报告,1616,5245,23,120475,8542.43,4.827%,3.94335,111.54,1.63,28964.2
直播课详情,2239,3280,22,84326,3962.96,7.637%,5.96997,27.06,2.52,4642.1
获取banner图,1875,2186,23,60046,2876.15,5.493%,5.20501,7.05,1.94,1386.4
查看练一练解析,1597,3081,24,81344,4229.65,5.448%,4.26943,11.50,1.80,2758.2
获取当前学生购物车商品数量,1861,2006,23,25702,2582.64,5.535%,4.99833,2.57,1.97,527.1
课程概述H5,2223,2690,23,81079,3547.60,7.602%,6.21125,29.69,2.14,4895.0
查看试卷列表,3240,3787,79,84139,6064.69,2.160%,7.90454,10.84,3.28,1404.3
获取直播课评价列表,2204,2505,22,81602,4004.85,8.711%,5.22329,9.50,2.34,1862.3
班课列表,5495,2123,74,97098,5262.64,55.469%,13.02497,46.57,5.20,3661.4
获取校区分组,1601,4013,74,113088,9063.24,42.473%,4.44546,68.30,1.16,15732.5
班课详情,5453,3462,22,81617,3709.97,4.731%,14.55748,103.57,6.01,7285.0
家校任务列表,2862,2873,75,82354,5701.02,43.012%,7.69322,16.79,2.01,2234.2
查看练一练排行榜,1583,3158,23,45441,2902.14,5.243%,4.42194,19.96,1.94,4622.2
老师主页—循环获取老师主页详情,2190,2808,23,84339,3675.29,9.041%,6.11283,25.94,2.61,4345.2
学生登录日志,1849,1776,22,37728,2497.22,6.057%,5.15136,2.45,3.60,487.9
查看章节详情,2834,3774,22,81513,4683.18,4.905%,7.75835,20.43,3.19,2696.0
做练习——开始页,2810,1801,23,34162,2257.02,6.762%,7.85772,4.54,3.52,591.3
获取年级分组,1580,2642,22,81052,3839.80,5.190%,4.42156,5.91,1.69,1367.9
做练习——试题页,2790,2259,21,81584,3074.59,5.018%,7.79804,12.73,3.49,1671.2
测评接口,1572,2806,23,72303,3556.87,5.598%,4.39468,5.34,1.94,1243.8
做入学测、试卷_开始页面,1565,2720,24,46442,3217.23,6.390%,4.35286,2.71,2.06,637.3
做入学测、试卷_题目页面,1544,3291,23,81569,4656.20,7.319%,3.83668,36.81,1.81,9824.4
HTTP Request,1525,3976,30,81473,4519.29,6.492%,3.90914,1.95,5.53,510.1
TOTAL,88076,2769,21,126376,4692.91,17.862%,206.83128,724.43,97.53,3586.6
